hs8,hs6,naics6,naics2,tariff,desc,Country,unmapped,bad_naics6,naics2_mismatch,public_admin,hs97,hs000
28444100,284441,NA,NA,12.5%,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products: --Tritium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing tritium or its compounds",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28444210,284442,NA,NA,22.5%,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products: ---Radium-223 and its salts,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28444290,284442,NA,NA,12.5%,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products: ---Other,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28444310,284443,NA,NA,22.5%,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products: ---Radium and its salts,other than radium-223 and its salts",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28444320,284443,NA,NA,27.5%,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products: ---Cobalt and its salts,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28444390,284443,NA,NA,12.5%,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products: ---Other,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28444400,284444,NA,NA,12.5%,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products: --Radioactive residues,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28452000,284520,NA,NA,7.5%,"Isotopes other than those of heading 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined: -Boron enriched in boron-10 and its compounds",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28453000,284530,NA,NA,7.5%,"Isotopes other than those of heading 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined: -Lithium enriched in lithium-6 and its compounds",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28454000,284540,NA,NA,7.5%,"Isotopes other than those of heading 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined: -Helium-3",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29034800,290348,NA,NA,5.0%,"Halogenated derivatives of hydrocarbons: --1,1,1,3,3-Pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee)",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29314400,293144,NA,NA,25.0%,Other organo-inorganic compounds: --Methylphosphonic acid,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
